id,class,claim,support,limits
Q1-OBS-01,观察事实,共同口径下，1800 s 时 M1 与 M2 的体积平均含水率分别为 2.2935805570 和 2.2750348485 kg/kg，差值为 0.0185457085 kg/kg。,支持,这是维度/端面效应的模型差异，不是相对真实观测的精度增益。
Q1-OBS-02,观察事实,Q1 正式样本显示 1800 s 时中心和表面含水率分别为 2.5499915369 与 1.5101482988 kg/kg，存在显著径向非均匀性。,支持,仅描述模型场，不等同于内部实验测量。
Q2-OBS-01,观察事实,3 h 时 M3 的全域最大含水率为 1.7278463920 kg/kg；M2 常物性对照为 2.1599687487，M4 消融为 1.7645199232 kg/kg。,支持,模型间数值差异不得称为拟合改善或经验准确性提升。
Q2-OBS-02,观察事实,M3 最细网格相邻变化为 4.0011396525e-5 kg/kg，仅以窄裕量满足 5e-5 的四位小数稳定目标。,支持但必须连同窄裕量披露,不得改用旧粗网格或把该项写成宽裕收敛。
Q3-OBS-01,观察事实,M3 最细空间网格下插值阈值时刻为 206818.7114 s，按 60 s 向上保守报告为 206820 s。,支持,停止条件为 max(C)<0.15-1e-6；报告时刻不是精确物理真值。
Q3-OBS-02,观察事实,时间步由 30 s 细化到 15 s 时，插值阈值时刻变化 47.5654 s（登记为最大 48 s），低于 60 s 目标但裕量有限。,支持但必须连同裕量披露,不得放宽 60 s 阈值，也不得写成时间误差为零。
Q3-ROB-01,观察事实,在预注册有界扰动中，经验式系数低值、指数高值及组合低情景在 259200 s（72 h）内未达到阈值。,支持；属于边界失败,不得只报告成功越阈值的情景；259200 s 是计算上限，不是越阈值时刻。
Q4-OBS-01,观察事实,收缩域参考实现与 moving-FV 实现的最细网格插值阈值时刻均为 183789.3317 s（数值差 5.82e-10 s），60 s 报告值均为 183840 s。,支持,这是两个数值实现的一致性，不是外部实验验证。
Q4-DED-01,数学推导,移动域守恒必须包含几何/Jacobian 修正；删除该项会破坏守恒。,由守恒形式及消融共同支持,消融归一化失衡 0.5936318973；批准路线最大失衡 9.6451610e-8。
Q4-ROB-01,观察事实,Q4 的 PCHIP 与线性半径插值均报告 187020 s；终端窗口 1800/3600/7200 s 对应 186960/187020/187200 s。,支持,该压力测试使用登记的敏感性配置，与正式最细网格主结果 183840 s 的配置角色不同，不得混为同一基准。
Q4-ROB-02,观察事实,Q4 组合低情景在 259200 s 内未达标；组合高情景报告为 118680 s。,支持；显示结论对边界与经验参数具有条件性,不能据此给出概率、因果或现实不确定区间。
VAL-OBS-01,观察事实,批准路线最大归一化平衡误差为 9.6451610e-8，最大线性残差为 5.0000647e-11。,支持,数值守恒和线性求解残差不等于模型对真实药材的准确性。
UNSUP-01,不支持陈述,M3/M4 比其他模型更符合真实药材干燥过程或具有更高经验准确率。,不支持,无内部实验观测，模型差异只能描述为条件仿真差异。
UNSUP-02,不支持陈述,经验式参数和所得时间可无条件外推到其他药材、设备或工况。,不支持,所有结果仅在题设经验律和冻结边界口径下成立。
