id,question,class,candidate_claim,support_level,evidence,limits
Q1-OBS-01,Q1,观察事实,共同口径下，1800 s 时 M1 与 M2 的体积平均含水率分别为 2.2935805570 和 2.2750348485 kg/kg，差值为 0.0185457085 kg/kg。,支持,"[{'path': '04-compute/results/run-summary.csv', 'locator': 'rows label=Q1-M1-base and Q1-M2-base; column final_mean_C'}, {'path': '04-compute/results/convergence.csv', 'locator': 'row scope=Q1,family=M1-vs-M2,metric=final_mean_C'}]",这是维度/端面效应的模型差异，不是相对真实观测的精度增益。
Q1-OBS-02,Q1,观察事实,Q1 正式样本显示 1800 s 时中心和表面含水率分别为 2.5499915369 与 1.5101482988 kg/kg，存在显著径向非均匀性。,支持,"[{'path': '04-compute/results/q1-samples.csv', 'locator': 'rows time_s=1800,radius_cm=0 and 2.0; column C_kg_per_kg'}]",仅描述模型场，不等同于内部实验测量。
Q2-OBS-01,Q2,观察事实,3 h 时 M3 的全域最大含水率为 1.7278463920 kg/kg；M2 常物性对照为 2.1599687487，M4 消融为 1.7645199232 kg/kg。,支持,"[{'path': '04-compute/results/key-metrics.json', 'locator': 'JSON fields q2_m3_final_max_C, q2_m2_constant_final_max_C, q2_m4_final_max_C'}]",模型间数值差异不得称为拟合改善或经验准确性提升。
Q2-OBS-02,Q2,观察事实,M3 最细网格相邻变化为 4.0011396525e-5 kg/kg，仅以窄裕量满足 5e-5 的四位小数稳定目标。,支持但必须连同窄裕量披露,"[{'path': '04-compute/results/convergence.csv', 'locator': 'row scope=Q2,family=M3,metric=final_max_C'}, {'path': '04-compute/results/validation-register.csv', 'locator': 'row id=V02'}]",不得改用旧粗网格或把该项写成宽裕收敛。
Q3-OBS-01,Q3,观察事实,M3 最细空间网格下插值阈值时刻为 206818.7114 s，按 60 s 向上保守报告为 206820 s。,支持,"[{'path': '04-compute/results/threshold-grid-convergence.csv', 'locator': 'row scope=Q3,nr=210'}, {'path': '04-compute/results/run-summary.csv', 'locator': 'row label=Q3-M3-nr210'}]",停止条件为 max(C)<0.15-1e-6；报告时刻不是精确物理真值。
Q3-OBS-02,Q3,观察事实,时间步由 30 s 细化到 15 s 时，插值阈值时刻变化 47.5654 s（登记为最大 48 s），低于 60 s 目标但裕量有限。,支持但必须连同裕量披露,"[{'path': '04-compute/results/convergence.csv', 'locator': 'row scope=Q3,family=M3,metric=t_star_time'}, {'path': '04-compute/results/validation-register.csv', 'locator': 'row id=V06'}]",不得放宽 60 s 阈值，也不得写成时间误差为零。
Q3-ROB-01,Q3,观察事实,在预注册有界扰动中，经验式系数低值、指数高值及组合低情景在 259200 s（72 h）内未达到阈值。,支持；属于边界失败,"[{'path': '04-compute/results/sensitivity.csv', 'locator': 'rows scope=Q3,factor=pref level=low; exponent level=high; combined_boundary_empirical level=low'}]",不得只报告成功越阈值的情景；259200 s 是计算上限，不是越阈值时刻。
Q4-OBS-01,Q4,观察事实,收缩域参考实现与 moving-FV 实现的最细网格插值阈值时刻均为 183789.3317 s（数值差 5.82e-10 s），60 s 报告值均为 183840 s。,支持,"[{'path': '04-compute/results/run-summary.csv', 'locator': 'rows label=Q4-reference-nr210 and Q4-moving-fv'}, {'path': '04-compute/results/convergence.csv', 'locator': 'row scope=Q4,family=moving-domain,metric=t_star_implementation'}]",这是两个数值实现的一致性，不是外部实验验证。
Q4-DED-01,Q4,数学推导,移动域守恒必须包含几何/Jacobian 修正；删除该项会破坏守恒。,由守恒形式及消融共同支持,"[{'path': '02-design/contracts/model-q4-m2-moving-fv.json', 'locator': 'moving-domain conservation contract'}, {'path': '04-compute/results/validation-register.csv', 'locator': 'rows id=V10 and V12'}, {'path': '04-compute/results/key-metrics.json', 'locator': 'fields jacobian_ablation_balance_error and maximum_approved_route_balance_error'}]",消融归一化失衡 0.5936318973；批准路线最大失衡 9.6451610e-8。
Q4-ROB-01,Q4,观察事实,Q4 的 PCHIP 与线性半径插值均报告 187020 s；终端窗口 1800/3600/7200 s 对应 186960/187020/187200 s。,支持,"[{'path': '04-compute/results/sensitivity.csv', 'locator': 'scope=Q4 rows factor=radius_interpolation and terminal_window_s'}]",该压力测试使用登记的敏感性配置，与正式最细网格主结果 183840 s 的配置角色不同，不得混为同一基准。
Q4-ROB-02,Q4,观察事实,Q4 组合低情景在 259200 s 内未达标；组合高情景报告为 118680 s。,支持；显示结论对边界与经验参数具有条件性,"[{'path': '04-compute/results/sensitivity.csv', 'locator': 'scope=Q4,factor=combined_boundary_empirical rows low and high'}]",不能据此给出概率、因果或现实不确定区间。
VAL-OBS-01,Q1-Q4,观察事实,批准路线最大归一化平衡误差为 9.6451610e-8，最大线性残差为 5.0000647e-11。,支持,"[{'path': '04-compute/results/key-metrics.json', 'locator': 'fields maximum_approved_route_balance_error and maximum_linear_residual'}]",数值守恒和线性求解残差不等于模型对真实药材的准确性。
SUP-OBS-01,补充实验,观察事实,纯机器学习的内插阈值时间 RMSE 为 2808.045 s、外推为 4469.711 s，远高于主路线 60 s 数值验证尺度。,仅支持把纯 ML 保留为负对照,"[{'path': '04-compute/supplemental-extensions/summary.json', 'locator': 'PURE_ML.test_event_rmse_s and extrapolation_event_rmse_s'}]",标签来自合成 PDE 工况，不是真实实验；不得替换 M1-M4。
SUP-INF-01,补充实验,模型依赖推断,代理模型可考虑用于冻结参数域内的插值筛查，但尚不能用于阈值安全决策。,条件性支持,"[{'path': '04-compute/supplemental-extensions/summary.json', 'locator': 'SURROGATE metrics and status=RETAIN_INTERPOLATION_ONLY'}]",缺少完整轨迹事件验证与真实观测。
UNSUP-01,Q1-Q4,不支持陈述,M3/M4 比其他模型更符合真实药材干燥过程或具有更高经验准确率。,不支持,"[{'path': '04-compute/results/key-metrics.json', 'locator': 'field interpretation_limit'}, {'path': '04-compute/handoff.json', 'locator': 'unknowns and warnings'}]",无内部实验观测，模型差异只能描述为条件仿真差异。
UNSUP-02,Q1-Q4,不支持陈述,经验式参数和所得时间可无条件外推到其他药材、设备或工况。,不支持,"[{'path': 'decisions/H1-problem.json', 'locator': 'accepted_assumptions and prohibited_changes'}, {'path': '04-compute/handoff.json', 'locator': 'unknowns'}]",所有结果仅在题设经验律和冻结边界口径下成立。
